id,web_name,first_name,second_name,element_type,team,now_cost,form,total_points,minutes,goals_scored,assists,clean_sheets,saves,selected_by_percent,influence,creativity,threat,position,cost
136,Thiago,Igor Thiago,Nascimento Rodrigues,4,5,60,0.0,9,167,0,0,0,0,1.0,18.2,30.6,12.0,FWD,6.0
137,Morgan,Iwan,Morgan,4,5,45,0.0,0,0,0,0,0,0,0.6,0.0,0.0,0.0,FWD,4.5
138,Steele,Jason,Steele,1,6,45,0.0,9,180,0,0,1,3,0.4,40.4,0.0,0.0,GK,4.5
139,Verbruggen,Bart,Verbruggen,1,6,45,0.0,103,3240,0,1,7,91,6.9,849.8,10.0,0.0,GK,4.5
140,McGill,Tom,McGill,1,6,40,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,GK,4.0
141,Rushworth,Carl,Rushworth,1,6,40,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,GK,4.0
142,Scherpen,Kjell,Scherpen,1,6,40,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,GK,4.0
143,Boscagli,Olivier,Boscagli,2,6,45,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,DEF,4.5
144,Coppola,Diego,Coppola,2,6,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,DEF,4.5
145,De Cuyper,Maxim,De Cuyper,2,6,45,0.0,0,0,0,0,0,0,7.8,0.0,0.0,0.0,DEF,4.5
146,Dunk,Lewis,Dunk,2,6,45,0.0,44,2081,0,1,4,0,1.0,425.4,115.7,128.0,DEF,4.5
147,Estupiñan,Pervis,Estupiñán Tenorio,2,6,45,0.0,63,2399,1,1,3,0,0.2,504.4,530.1,173.0,DEF,4.5
148,F.Kadıoğlu,Ferdi,Kadıoğlu,2,6,45,0.0,19,385,1,0,2,0,0.3,116.4,83.7,40.0,DEF,4.5
149,Igor,Igor Julio,dos Santos de Paulo,2,6,45,0.0,18,959,0,0,1,0,0.1,189.6,54.7,4.0,DEF,4.5
150,Lamptey,Tariq,Lamptey,2,6,45,0.0,42,856,2,2,2,0,0.4,213.6,101.0,52.0,DEF,4.5
151,Van Hecke,Jan Paul,van Hecke,2,6,45,0.0,87,2960,1,1,7,0,1.2,736.6,261.8,182.0,DEF,4.5
152,Veltman,Joël,Veltman,2,6,45,0.0,59,1694,0,0,6,0,0.3,273.0,147.2,59.0,DEF,4.5
153,Webster,Adam,Webster,2,6,45,0.0,39,885,0,1,4,0,0.1,198.4,49.7,55.0,DEF,4.5
154,Cashin,Eiran,Cashin,2,6,40,0.0,1,19,0,0,0,0,0.1,7.0,0.6,0.0,DEF,4.0
155,Slater,Jacob,Slater,2,6,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,DEF,4.0
156,Tasker,Charlie,Tasker,2,6,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,DEF,4.0
157,Mitoma,Mitoma,Kaoru,3,6,65,0.0,145,2597,10,5,6,0,5.9,670.6,578.0,856.0,MID,6.5
158,Georginio,Georginio,Rutter,3,6,60,0.0,95,1651,5,6,6,0,0.4,355.4,281.8,404.0,MID,6.0
159,March,Solly,March,3,6,60,0.0,7,161,0,0,0,0,0.1,24.0,59.6,18.0,MID,6.0
160,Minteh,Yankuba,Minteh,3,6,60,0.0,102,1831,6,5,4,0,1.2,523.8,448.9,615.0,MID,6.0
161,Enciso,Julio,Enciso Espínola,3,6,55,0.0,59,1155,2,3,2,0,0.2,250.8,268.9,362.0,MID,5.5
162,Gruda,Brajan,Gruda,3,6,55,0.0,45,676,1,4,1,0,0.1,196.6,311.6,187.0,MID,5.5
163,Hinshelwood,Jack,Hinshelwood,3,6,55,0.0,89,1839,5,3,6,0,0.2,394.6,268.1,304.0,MID,5.5
164,O'Riley,Matt,O'Riley,3,6,55,0.0,50,929,2,3,2,0,0.2,211.4,322.5,219.0,MID,5.5
165,Sima,Abdallah,Sima,3,6,55,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,MID,5.5
166,Ayari,Yasin,Ayari,3,6,50,0.0,74,1958,2,1,7,0,0.3,363.2,507.5,247.0,MID,5.0
167,Baleba,Carlos,Baleba,3,6,50,0.0,87,2660,3,1,8,0,4.7,515.4,343.7,193.0,MID,5.0
