id,fpl_Player,Position,Team,Price
300,Wilfred Ndidi,MID,LEI,4.9
301,Caleb Okoli,DEF,LEI,4.0
302,Ricardo,DEF,LEI,4.1
303,Harry Souttar,DEF,LEI,4.0
304,Jakub Stolarczyk,GK,LEI,4.0
305,Luke Thomas,DEF,LEI,3.9
306,Jamie Vardy,FW,LEI,5.4
307,Jannik Vestergaard,DEF,LEI,3.9
308,Danny Ward,GK,LEI,3.9
309,Harry Winks,MID,LEI,4.3
501,Oliver Skipp,MID,LEI,4.7
570,Abdul A.Fatawu,MID,LEI,5.1
606,Will Alves,MID,LEI,4.4
616,Ben Nelson,DEF,LEI,4.0
635,Bilal El Khannouss,MID,LEI,4.8
694,Henry Cartwright,MID,LEI,4.5
708,Thomas Wilson-Brown,DEF,LEI,4.0
726,Woyo Coulibaly,DEF,LEI,4.0
754,Ruud Van Nistelrooy,ASS,LEI,0.5
792,Jeremy Monga,MID,LEI,4.5
796,Olabade Aluko,DEF,LEI,4.0
797,Jake Evans,MID,LEI,4.5
802,Sammy Braybrooke,MID,LEI,4.5
310,Alisson A.Becker,GK,LIV,5.5
311,Trent Alexander-Arnold,DEF,LIV,7.2
312,Stefan Bajcetic,MID,LIV,4.5
313,Conor Bradley,DEF,LIV,4.7
315,Bobby Clark,MID,LIV,4.5
316,Darwin,FW,LIV,7.0
317,Diogo J.,MID,LIV,7.2
318,Ben Doak,MID,LIV,4.5
319,Harvey Elliott,MID,LIV,5.2
320,Endo,MID,LIV,4.6
321,Cody Gakpo,FW,LIV,7.2
322,Joe Gomez,DEF,LIV,4.7
323,Ryan Gravenberch,MID,LIV,5.0
324,Curtis Jones,MID,LIV,5.3
325,Caoimhin Kelleher,GK,LIV,3.9
326,Ibrahima Konate,DEF,LIV,5.3
327,Luis Diaz,MID,LIV,7.5
328,Mohamed M.Salah,MID,LIV,13.6
329,Alexis Mac Allister,MID,LIV,6.2
330,James McConnell,MID,LIV,4.3
331,Tyler Morton,MID,LIV,4.4
332,Nathaniel N.Phillips,DEF,LIV,4.0
333,Jarell Quansah,DEF,LIV,3.9
334,Rhys R.Williams,DEF,LIV,4.0
335,Andrew Robertson,DEF,LIV,5.8
336,Dominik Szoboszlai,MID,LIV,6.1
337,Konstantinos Tsimikas,DEF,LIV,4.6
339,Virgil,DEF,LIV,6.7
636,Federico Chiesa,MID,LIV,6.8
660,Vitezslav Jaros,GK,LIV,4.0
669,Harvey Davies,GK,LIV,4.0
688,Treymaurice Nyoni,MID,LIV,4.5
692,Amara Nallo,DEF,LIV,4.0
709,Jayden Danns,FW,LIV,4.5
744,Arne Slot,ASS,LIV,1.5
340,Manuel Akanji,DEF,MCI,5.3
341,Nathan Ake,DEF,MCI,5.3
342,Bernardo,MID,MCI,6.1
343,Oscar Bobb,MID,MCI,4.7
344,Scott Carson,GK,MCI,3.9
345,Kevin De Bruyne,MID,MCI,9.5
346,Jeremy Doku,MID,MCI,6.2
347,Ederson M.,GK,MCI,5.3
348,Phil Foden,MID,MCI,9.1
349,Jack Grealish,MID,MCI,6.4
350,Josko Gvardiol,DEF,MCI,6.5
351,Erling Haaland,FW,MCI,14.9
352,Julian J.Alvarez,FW,MCI,7.0
353,Joao Cancelo,DEF,MCI,5.3
354,Mateo Kovacic,MID,MCI,5.4
355,Rico Lewis,DEF,MCI,4.3
356,Matheus Luiz N.,MID,MCI,4.9
357,James McAtee,MID,MCI,4.6
358,Stefan Ortega Moreno,GK,MCI,5.2
360,Rodrigo 'Rodri',MID,MCI,6.2
361,Ruben,DEF,MCI,5.5
362,John Stones,DEF,MCI,5.3
363,Kyle Walker,DEF,MCI,5.1
571,Savio 'Savinho' Savinho,MID,MCI,6.0
607,Nico O'Reilly,MID,MCI,4.9
625,Ilkay Gundogan,MID,MCI,6.3
626,Issa Kabore,DEF,MCI,4.5
671,Jacob Wright,MID,MCI,4.5
672,Jahmai Simpson-Pusey,DEF,MCI,4.0
675,Josh Wilson-Esbrand,DEF,MCI,4.0
698,Divin Mubama,FW,MCI,4.5
703,Max Alleyne,DEF,MCI,4.0
704,Spike Brits,GK,MCI,4.0
732,Abdukodir Khusanov,DEF,MCI,5.0
733,Vitor Reis,DEF,MCI,4.5
736,Pep Guardiola,ASS,MCI,1.5
755,Omar Marmoush,FW,MCI,7.4
765,Nico N.Gonzalez,MID,MCI,6.0
785,Claudio Echeverri,MID,MCI,5.8
364,Amad,MID,MUN,5.3
365,Antony Matheus,MID,MUN,5.7
366,Bruno B.Fernandes,MID,MUN,8.4
367,Altay Bayindir,GK,MUN,4.3
368,Carlos Henrique Casemiro,MID,MUN,4.6
369,Diogo Dalot,DEF,MUN,5.0
370,Christian Eriksen,MID,MUN,5.2
371,Jonny Evans,DEF,MUN,4.4
372,Alejandro Garnacho,MID,MUN,5.9
373,Hannibal,MID,MUN,4.5
374,Tom Heaton,GK,MUN,3.9
